Event Type,C2S ID,Source,Source Port(s),Destination,Destination Port(s),Start Time (UTC),Stop Time (UTC)
no precursor client compromise exfil/sams_launch_v,43555.0,172.28.219.190,0.0,138.106.196.178,80,2009-11-03 13:36:00,2009-11-03 13:36:00
no precursor client compromise exfil/sams_launch_v,43556.0,172.28.219.190,0.0,28.133.133.90,80,2009-11-03 13:36:00,2009-11-03 13:36:00
c2 + tcp control channel exfil - no precursor nc,43557.0,138.106.196.178,0.0,172.28.219.190,10000,2009-11-03 13:41:00,2009-11-03 13:42:00
no precursor client compromise exfil/sams_launch_v,43558.0,172.28.14.52,0.0,198.123.37.66,80,2009-11-03 13:49:00,2009-11-03 13:49:00
no precursor client compromise exfil/sams_launch_v,43559.0,172.28.14.52,0.0,28.133.133.90,80,2009-11-03 13:49:00,2009-11-03 13:49:00
c2 + control channel exfil - no precursor nc,43560.0,198.123.37.66,0.0,172.28.14.52,10000,2009-11-03 13:52:00,2009-11-03 13:54:00
failed attack or scan exploit/bin/iis_nsiislog.pl,43561.0,161.154.58.214,0.0,255.255.255.255,21,2009-11-03 13:54:00,2009-11-03 14:10:00
scan /usr/bin/nmap,43562.0,151.243.222.89,54527.0,172.28.52.6,22321,2009-11-03 13:20:00,2009-11-03 13:20:00
scan /usr/bin/nmap,43563.0,19.16.150.30,59406.0,172.28.177.139,3129,2009-11-03 13:30:00,2009-11-03 13:30:00
scan /usr/bin/nmap,43565.0,49.232.95.127,55944.0,172.28.97.169,21 4899,2009-11-03 13:32:00,2009-11-03 13:32:00
scan /usr/bin/nmap,43566.0,219.160.125.33,42311.0,172.28.74.179,4899,2009-11-03 13:32:00,2009-11-03 13:32:00
scan /usr/bin/nmap,43567.0,211.144.70.97,40510.0,172.28.154.10,21,2009-11-03 13:33:00,2009-11-03 13:33:00
scan /usr/bin/nmap,43568.0,158.190.85.16,9358.0,172.28.116.90,80,2009-11-03 13:33:00,2009-11-03 13:33:00
scan /usr/bin/nmap,43569.0,122.201.178.72,40045.0,172.28.42.98,64142:64353,2009-11-03 13:33:00,2009-11-03 13:33:00
failed attack framework-2.6/msfcli iis_nsiislog_po,43570.0,24.168.166.204,0.0,172.28.23.56,80,2009-11-03 13:35:00,2009-11-03 13:36:00
failed attack framework-2.6/msfcli iis_nsiislog_po,43571.0,24.168.166.204,0.0,172.28.23.56,80,2009-11-03 13:52:00,2009-11-03 13:52:00
scan /usr/bin/nmap,43572.0,42.196.162.102,26707.0,172.28.79.227,30860,2009-11-03 13:56:00,2009-11-03 13:56:00
scan /usr/bin/nmap,43573.0,193.168.132.153,10468.0,172.28.147.136,45248,2009-11-03 13:56:00,2009-11-03 13:56:00
failed attack framework-2.6/msfcli cabrightstor_di,43574.0,35.182.39.183,0.0,172.28.134.218,41524,2009-11-03 14:14:00,2009-11-03 14:14:00
failed attack framework-2.6/msfcli cabrightstor_di,43575.0,79.239.45.99,0.0,172.28.194.88,41524,2009-11-03 14:20:00,2009-11-03 14:20:00
failed attack framework-2.6/msfcli cabrightstor_di,43576.0,35.182.39.183,0.0,172.28.134.218,41524,2009-11-03 14:22:00,2009-11-03 14:22:00
